公司全名,薪资,区域
慧川智能 (Hunch.AI),13k-20k,杭州·西湖区
云间网络,10k-15k,成都·紫荆
华软科技,11k-20k,西安·高新技…
微视互动,8k-13k,武汉·关山
梦享网络,13k-25k,深圳·深圳湾
战神联盟,10k-18k,广州·员村
贝多分金融,15k-25k,深圳·下沙
前海农交所,15k-30k,深圳·深圳湾
源石云,10k-20k,上海·漕宝路
广通软件,10k-20k,杭州·文一路
南天,8k-15k,广州·天河区
千寻万物,10k-20k,深圳·科技园
披云科技,8k-11k,南京·建邺区
通力互联,13k-25k,深圳·坂田
微侠,18k-25k,上海·长宁区
通力互联,9k-18k,成都·锦江区
迅联网络,5k-10k,青岛·黄岛区
皙印,8k-12k,厦门·思明区
无锡聚云科技有限公司,6k-12k,无锡·滨湖区
钱咖,15k-20k,上海·十六铺
波德林智能科技,10k-15k,厦门·思明区
融科数据,8k-12k,济南·高新区
点亿汽车科技,15k-20k,广州·番禺区
安博伟业,4k-8k,天津·气象台…
中继科技,7k-12k,长沙·麓谷
重庆足下科技,12k-14k,成都·紫荆
上海中软华腾软件系统有限公司,14k-20k,深圳·大冲
全速网络,16k-20k,杭州·拱墅区
成都钱方,12k-20k,成都·华阳
乐飞天下,15k-25k,北京·大望路
通力互联,9k-18k,北京·北京大…
金证股份,10k-20k,北京·亮马桥
Tanment,20k-30k,深圳·南油
eBrain,15k-25k,北京·朝阳区
智信锐捷,6k-11k,成都·牛王庙
动脑科技,10k-20k,长沙·岳麓区
聚微,12k-24k,北京·白石桥
北京飞博教育科技股份有限公司,20k-25k,北京·双井
海万科技,10k-20k,深圳·新洲
易派软件,7k-14k,西安·雁塔区
享睡空间,10k-20k,北京·东城区
童程童美,6k-8k,天津·白堤路
广州指趣,15k-25k,广州·车陂
Techmahindra,10k-15k,深圳·坂田
MOLBASE,10k-18k,上海·虹梅路
金证股份,10k-15k,北京·亮马桥
海万科技,8k-15k,深圳·福田区
小怪兽,8k-15k,大连·凌水
有利网,15k-25k,成都·玉林
点融,18k-25k,上海·五里桥
中讯汉扬,13k-20k,深圳·白石洲
松茂科技,12k-18k,深圳·前海
会搜股份,12k-24k,杭州·江干区
百布,15k-28k,广州·瑞宝
虎赞科技,10k-20k,福州·金山
上海提捺信息科技有限...,20k-30k,深圳·科技园
旷视MEGVII,20k-30k,北京·北京大…
生学教育,20k-30k,成都·高新区
Bespin Global China,15k-30k,北京·朝阳区
链友科技,10k-20k,广州·棠下
海万科技,13k-25k,深圳·亮马桥
点融,18k-25k,上海·五里桥
AI考拉,20k-35k,广州·海珠区
富璟科技,10k-18k,深圳·深圳湾
校宝在线,15k-25k,杭州·文三路
矩阵元,15k-30k,深圳·南油
杭州祖玛,15k-30k,杭州·西溪
跨越速运,30k-35k,深圳·南油
杭州雅拓,10k-20k,杭州·文二路
紫川软件,10k-15k,深圳·前海
中睿天下,6k-12k,济南·舜耕路
企朋,15k-25k,杭州·西溪
江民,10k-20k,北京·海淀区
虎扑,20k-35k,上海·虹口足…
荔枝,10k-20k,广州·天河区
校宝在线,15k-30k,杭州·文三路
洋葱omall,18k-24k,广州·天河区
展游,15k-25k,北京·海淀区
粉象生活,12k-18k,杭州·西湖区
绿智汇,10k-15k,上海·中原
南天,10k-20k,广州·天河区
明源云,13k-23k,深圳·深圳湾
弘度科技,15k-25k,广州·广卫
河流道,8k-15k,济南·高新区
富璟科技,8k-15k,广州·珠江新…
驴迹导游,10k-18k,广州·天河区
天上友嘉,10k-20k,成都·高新区
中标软件,10k-20k,北京·海淀区
维拓利亚,9k-13k,深圳·科技园
魔筷科技,15k-20k,杭州·仓前
2144游戏,15k-30k,上海·张江
爱乐奇,15k-30k,上海·张江
链神科技,25k-50k,广州·员村
盛趣时代,12k-20k,成都·火车南…
霖梓控股,10k-20k,杭州·江南
英语趣配音,15k-20k,杭州·西兴
乐约健康,15k-30k,北京·东城区
亚美,10k-15k,广州·天河区
神州商龙,10k-15k,天津·南开区
高新网络科技,10k-20k,长沙·岳麓区
慕课网,15k-25k,北京·海淀区
阔知网络,9k-15k,杭州·浦沿
腾讯,20k-40k,深圳·南油
飞贷金融科技,20k-35k,深圳·科技园
绿瘦集团,15k-20k,广州·芳村
好省,15k-25k,杭州·西湖区
慕课网,15k-30k,北京·中关村
哈啰出行,15k-25k,上海·闵行区
晟运通科技,15k-25k,西安·科技二…
凡科,16k-22k,广州·工业大…
毒APP,20k-35k,上海·虹口足…
博奥特科技,14k-18k,上海·洋泾
Bespin Global China,15k-30k,北京·朝阳区
中建电商,15k-30k,北京·甘家口
易路,10k-20k,成都·高新区
好未来,25k-40k,北京·北京大…
三少猩球,16k-22k,上海·新闸路
第一波,20k-30k,深圳·大冲
逍邦,9k-18k,杭州·江南
CmsTop,10k-20k,武汉·关山
好省,15k-25k,杭州·西湖区
微屏游戏,18k-25k,上海·浦东新…
广府数字,25k-50k,广州·东圃
金十数据,15k-30k,广州·海珠区
方趣网络,20k-30k,上海·闵行区
原力互娱,12k-20k,广州·员村
AAM中国,14k-22k,广州·荔湾区
威富通,12k-18k,深圳·科技园
同程艺龙,25k-45k,北京·大山子
象聚集团,15k-20k,郑州·高新区
峰途网络,16k-28k,上海·静安寺
毒APP,25k-35k,上海·虹口足…
广州棒谷科技股份有限公司,10k-20k,广州·同德
华米科技,10k-20k,合肥·高新区
海万科技,10k-20k,深圳·福田区
金十数据,12k-20k,广州·海珠区
华米科技,10k-20k,合肥·高新区
方趣网络,18k-25k,上海·闵行区
上海中软华腾软件系统有限公司,12k-18k,佛山·桂城
德邦,15k-19k,上海·青浦区
海万科技,10k-20k,上海·洋泾
中电健康云,24k-48k,成都·武侯区
时速云,10k-18k,北京·学院路
魔方公寓,15k-20k,上海·虹桥
紫川软件,12k-15k,深圳·科技园
华云数据,15k-30k,上海·复旦大…
青藤云安全,10k-20k,武汉·东湖新…
龙渊网络,10k-20k,成都·高新区
共享伞：漂流伞mobrella,13k-18k,杭州·文三路
盛世锦天,15k-30k,上海·普陀区
海万科技,9k-11k,上海·徐汇区
上海中软华腾软件系统有限公司,10k-15k,佛山·桂城
紫川软件,8k-13k,深圳·新洲
时速云,15k-25k,广州·天河区
安恒信息,10k-20k,杭州·西兴
港优创新,15k-25k,深圳·大冲
上海只二网络科技有限公司,15k-25k,上海·浦东新…
誉存科技,8k-16k,重庆·渝北区
对庄科技,10k-15k,广州·沙面
天傲网络科技,8k-15k,成都·武侯区
YIDATEC,13k-19k,广州·员村
跨越速运,18k-30k,深圳·南油
武汉佰钧成技术有限公司,10k-15k,杭州·西湖区
宝能百货零售,15k-25k,深圳·罗湖区
盛世锦天,15k-30k,上海·普陀区
海万科技,12k-18k,上海·龙华
紫川软件,10k-20k,深圳·新洲
安恒信息,10k-20k,济南·高新区
港优创新,9k-13k,深圳·大冲
跨越速运,15k-25k,深圳·南油
深圳微融,14k-22k,深圳·科技园
捷顺科技股份,13k-18k,深圳·下梅林
PaaSoo 无限云科技,8k-12k,厦门·思明区
万普瑞邦,8k-16k,深圳·南山区
美平米,10k-15k,杭州·四季青
乐约健康,8k-10k,武汉·徐东
艾姆诗（IMC）,12k-24k,深圳·龙华新…
虎扑,20k-30k,上海·虹口足…
广联储社群,8k-12k,深圳·科技园
贝嘟科技,8k-12k,杭州·高教园
海万科技,10k-20k,深圳·福田区
安恒信息,10k-20k,上海·中山公…
捷顺科技股份,16k-22k,深圳·上梅林
乐约健康,10k-15k,北京·东城区
大淘客,7k-11k,成都·华阳
YIDATEC,10k-17k,广州·员村
楚楚街,15k-20k,北京·海淀区
硅基智能,10k-20k,南京·雨花台…
2144游戏,15k-30k,上海·张江
君合创胜,9k-15k,上海·新闸路
中非网,10k-15k,成都·武侯区
亚美,15k-25k,广州·天河区
安豆科技,15k-20k,广州·天河区
DeNA China,12k-18k,上海·大连
天傲网络科技,8k-15k,成都·武侯区
安恒信息,10k-20k,武汉·江滩
捷顺科技股份,10k-15k,深圳·下梅林
跨越速运,15k-25k,深圳·南油
神州优车集团,20k-40k,北京·皂君庙
花色互娱,10k-20k,深圳·南山区
利汇,13k-20k,深圳·南山区
武汉佰钧成技术有限公司,9K-14K,深圳·南山区
战神联盟,13k-25k,广州·员村
尚瑜科技,8k-12k,广州·天河区
星巢网络,20k-30k,杭州·西溪
微租,8k-13k,广州·市桥
杰夫与友,6k-8k,重庆·七星岗
店家科技,15k-25k,杭州·西湖区
东方财富,10k-20k,上海·龙华
小鸟云,12k-20k,深圳·南山区
艾美网络科技,25k-45k,广州·番禺区
YIDATEC,10k-13k,深圳·前海
申通快递,13k-24k,上海·重固
绯闻网络,8k-11k,苏州·木渎
安久科技,9k-18k,广州·黄村
明源云,10k-18k,深圳·深圳湾
天傲网络科技,8k-15k,成都·武侯区
映潮科技,6k-12k,成都·高新区
链友科技,14k-20k,广州·棠下
武汉掌中宝,8k-13k,武汉·南湖
百布,10k-18k,广州·瑞宝
RC PLATFORM,15k-25k,北京·四惠
筷子科技,10k-20k,广州·越秀区
优倍快 (UBNT),13k-25k,厦门·思明区
蓝色速度,15k-20k,深圳·车公庙
奇异果科技,15k-25k,广州·客村
彩晔科技,6k-12k,南京·安德门
途虎养车网,14k-28k,上海·南方商…
立创商城,15k-20k,深圳·香蜜湖
光娱游戏,18k-28k,广州·岗顶
伴鱼口语,40k-70k,北京·亚运村
盛裕宏科技,15k-25k,成都·高新区
安恒信息,10k-13k,杭州·西兴
高新网络科技,15k-20k,深圳·西乡
YIDATEC,10k-13k,深圳·深圳湾
腾讯,20k-40k,深圳·南油
同程艺龙,25k-45k,北京·大山子
深圳市软信通网络科技有限公司,8k-12k,深圳·后海
子不语,15k-21k,杭州·南苑
新旦股份,15k-18k,上海·龙华
知识星球,15k-30k,深圳·科技园
得见科技,7k-9k,武汉·武昌区
上海瑞阙文化发展有限公司,20k-35k,上海·黄浦区
中继科技,8k-16k,长沙·岳麓区
乐盟,20k-40k,深圳·大冲
大象游戏,20k-25k,深圳·南山区
艾鑫承,10k-12k,深圳·白石洲
申通快递,10k-20k,上海·重固
科来软件,8k-15k,北京·西二旗
高奈特,15k-20k,广州·荔湾区
车音智能,15k-25k,北京·安定门
阳光康众,10k-15k,广州·海珠区
朗新科技,10k-20k,杭州·西溪
店家科技,15k-25k,杭州·余杭区
卖座网,12k-18k,深圳·科技园
房大办公,10k-15k,上海·打浦桥
网新华通,10k-15k,杭州·西溪
浦发卡中心,25k-35k,上海·浦东新…
善行（深圳）系统有限公司,15k-20k,深圳·科技园
广州多融信息科技有限公司,10k-15k,广州·天河区
师悦科技,8k-16k,西安·经济技…
CmsTop,15k-25k,武汉·关山
星飞,15k-30k,广州·天河区
道一云,7k-14k,长沙·雨花区…
裕宁科技,10k-18k,深圳·深圳湾
58到家,15k-30k,北京·北苑
上海你我贷互联网金融信息服务,20k-40k,上海·东方路
知识星球,15k-30k,深圳·科技园
广通软件,10k-20k,杭州·翠苑
阿里文娱,20k-40k,广州·员村
浦发卡中心,15k-25k,上海·浦东新…
道一云,10k-15k,广州·天河公…
尤达科技,10k-20k,广州·海珠区
诚智天扬,9k-15k,杭州·高新文…
卡友北分,12k-18k,北京·双井
淘集集,20k-30k,上海·静安区
博悦科创,10k-16k,上海·唐镇
浙江钱兔网络科技有限公司,13k-26k,杭州·萧山区
点购商城,15k-25k,广州·天园
华讯,10k-19k,福州·闽侯县
易佰网络科技,20k-30k,深圳·龙岗区
奇异果科技,15k-20k,广州·客村
优维科技,8k-13k,济南·历下区
懒人听书,12k-24k,深圳·大冲
GeexFinance,10k-20k,上海·杨浦区
道一云,10k-15k,梅州·梅江区
优维科技,15k-25k,北京·望京
网易,15k-30k,广州·冼村
广州绿森,10k-15k,广州·番禺区
海万科技,15k-20k,上海·静安区
