公司全名,薪资,区域
OPPO,15k-30k,深圳·后海
罗辑思维,25k-50k,北京·大望路
大寰机器人,10k-16k,深圳·南山区
汇游科技,15k-20k,北京·北苑
ATA,15k-25k,上海·张江
妙印云,14k-22k,深圳·南山区
ZingFront智线,15k-25k,北京·甜水园
NaturLing教育科技,15k-25k,苏州·工业园…
奇安信集团,25k-45k,北京·朝阳区
联元智能科技,12k-20k,上海·曹杨
AfterShip,25k-35k,深圳·南山区
AKULAKU,15k-30k,深圳·深圳湾
FlashTrip,15k-25k,北京·朝阳区
亿欧,15k-25k,北京·三元桥
果壳链,15k-20k,成都·高新区
ZingFront智线,15k-25k,北京·甜水园
平安金服,15k-30k,上海·洋泾
KLOOK 客路旅行,15k-30k,深圳·车公庙
瓦戈智慧,14k-28k,上海·张江
平安科技,15k-30k,北京·朝阳区
达观数据,20k-30k,深圳·科技园
希望金科,15k-25k,成都·高新区
时光小屋,15k-25k,武汉·洪山区
弘量科技（深圳）有限公司,15k-30k,深圳·南山区
NextTao 互道信息,13k-20k,上海·张江
四川弘和集团,10k-15k,成都·机投桥
钱方好近,13k-26k,北京·望京
硅基智能,12k-20k,南京·宁南
DAOCLOUD,15k-30k,上海·五角场
乐易网络,10k-20k,深圳·南山区
ZingFront智线,15k-25k,北京·甜水园
达观数据,20k-30k,北京·中关村
DAOCLOUD,15k-30k,上海·五角场
乐易网络,10k-20k,深圳·南山区
斯干,15k-25k,上海·徐汇区
钱方好近,12k-20k,成都·华阳
喜茶,15k-25k,深圳·深圳湾
CloudChef,18k-36k,上海·杨浦区
TestBird,8k-15k,成都·高新区
南京优玛软件科技有限公司,12k-16k,北京·西山
思而科,8k-15k,成都·武侯区
中电广通,10k-20k,北京·朝阳区
Aibee,20k-40k,北京·西北旺
金证优智,15k-25k,北京·魏公村
PALMAX,10k-20k,成都·高新区
ZingFront智线,15k-25k,北京·甜水园
钱方好近,15k-25k,深圳·沙嘴
逍遥志科技,18k-25k,北京·朝外
竞网,10k-13k,长沙·岳麓区
盛迪嘉支付,15k-20k,深圳·科技园
流体网络,15k-30k,北京·朝阳区
中科物安,15k-25k,北京·四季青
水象科技,20k-30k,上海·闵行区
Flow++,15k-25k,北京·西北旺
糗事百科,15k-30k,深圳·科技园
大河网,5k-10k,郑州·中原区
北京云族佳科技,7k-12k,广州·天河区
商汤科技,20k-40k,深圳·南山区
中寰卫星,15k-30k,北京·西北旺
飞书互动,15k-25k,上海·长宁区
慧安金科,25k-45k,北京·学院路
币信,18k-35k,北京·中关村
影谱科技,15k-30k,北京·东直门
艾耕科技,15k-25k,杭州·西溪
平安科技,12k-20k,上海·东外滩
华云数据,18k-28k,上海·复旦大…
Dilato,9k-15k,南京·雨花台…
零壹互联,15k-25k,深圳·龙华新…
腾讯,20k-40k,深圳·科技园
智言科技,10k-20k,深圳·南山区
阿里巴巴-高德,25k-50k,北京·望京
第三石科技,15k-30k,北京·朝阳区
特赞|Tezign,25k-40k,上海·徐汇区
易宝软件科技（南京）有限公司,8k-16k,成都·郫县
创世云,15k-30k,厦门·思明区
金蝶,10k-15k,深圳·科技园
上海驰勤,10k-16k,上海·新江湾…
微壳,25k-40k,北京·亚运村
Dilato,9k-16k,南京·雨花台…
问卷网@爱调研,10k-20k,苏州·独墅湖
深圳市丰巢科技有限公司,10k-20k,武汉·东湖新…
旷视MEGVII,25k-50k,北京·中关村
雷速体育,15k-25k,上海·虹口区
狸米科技,20k-30k,北京·北苑
NewsJet,25k-45k,北京·知春路
北京超盟数据科技有限公司,15k-25k,北京·亮马桥
V8实拍,25k-50k,北京·朝阳区
达观数据,18k-25k,上海·张江
省省回头车,15k-25k,广州·东圃
点融,20k-40k,上海·五里桥
格灵深瞳,20k-40k,北京·西三旗
NextTao 互道信息,18k-30k,上海·张江
硅基智能,20k-35k,上海·梅园
功夫医生,15k-22k,武汉·中北路
掌阅,22k-35k,北京·朝阳区
PALMAX,13k-22k,成都·高新区
Seedlink,20k-35k,上海·静安寺
泉涌信息,15k-30k,广州·天河区
高新网络科技,20k-30k,长沙·岳麓区
万科物业,15k-30k,深圳·上梅林
数旦信息,15k-30k,上海·漕河泾
摩尔妈妈,30k-40k,北京·亮马桥
明源云,15k-30k,深圳·深圳湾
深圳华秋电子有限公司,15k-18k,深圳·上梅林
易路,15k-25k,上海·虹桥
华扬联众全国数据技术中心（HDTC）,10k-20k,南京·上海路
云杉智达科技,20k-35k,北京·朝外
小步网络,15k-30k,深圳·西乡
中科天玑,13k-23k,北京·金融街
AAM中国,15k-26k,广州·荔湾区
好未来,18k-30k,北京·北京大…
立新出行,25k-35k,深圳·新安
UCloud,15k-30k,上海·杨浦区
Castbox,20k-40k,北京·望京
腾讯,15k-30k,深圳·科技园
威胁猎人,17k-25k,深圳·南山区
趣头条,15k-30k,上海·张江
FreeWheel,27k-34k,北京·三元桥
茄子快传,25k-35k,北京·海淀区
北明软件,10k-18k,南京·雨花台…
Gridsum 国双,20k-40k,深圳·莲花二…
一亩田,15k-30k,北京·学院路
商汤科技,20k-40k,深圳·深圳湾
猫头鹰团队,15k-25k,武汉·江夏区
财新传媒,10k-20k,北京·建外大…
墨云科技,15k-30k,南京·龙江
慧安金科,25k-45k,北京·学院路
混沌大学,20k-40k,北京·海淀区
Xmov,15k-30k,上海·徐汇区
汽车之家,15k-25k,北京·中关村
百度,20k-40k,北京·西北旺
联通大数据,15k-25k,北京·雍和宫
南京网眼软件有限公司,10k-20k,南京·雨花台…
小步网络,20k-30k,深圳·西乡
雷速体育,15k-25k,上海·虹口区
星垂智能,15k-25k,西安·高新技…
有光科技,15k-25k,深圳·深圳湾
微诺,15k-25k,深圳·新安
Gekko.ai,15k-30k,深圳·大冲
亿可能源,18k-30k,上海·复旦大…
通力互联,13k-26k,东莞·东莞市…
腾讯,30k-50k,北京·学院路
墨云科技,15k-30k,北京·上地
南京擎盾,8k-16k,南京·安德门
中睿天下,12k-18k,北京·海淀区
中非网,12k-18k,成都·武侯区
联元智能科技,15k-30k,上海·曹杨
雷速体育,15k-20k,上海·虹口区
合心科技,20k-35k,北京·知春路
汽车之家,15k-25k,北京·中关村
通力互联,12k-24k,东莞·东莞市…
微诺,15k-30k,深圳·新安
云鲸智能,15k-30k,深圳·南山区
拍拍贷,20k-30k,上海·浦东新…
汽车之家,20k-30k,北京·海淀区
迪睿科技,10k-20k,福州·鼓楼区
腾讯,25k-50k,深圳·科技园
字节跳动,30k-60k,北京·海淀区
iHandy,25k-50k,北京·五道口
海万科技,8k-15k,上海·浦东新…
东莞先知大数据有限公司,8k-15k,东莞·东莞市…
积云教育,15k-25k,北京·马池口
吉利汽车,10k-20k,宁波·镇海区
问卷网@爱调研,15k-30k,上海·交通大…
老虎集团,25k-35k,北京·朝阳区
通力互联,12k-20k,东莞·东莞市…
积云教育,20k-30k,北京·马池口
海万科技,14k-23k,上海·陆家嘴
字节跳动,25k-50k,上海·黄浦区
老虎集团,20k-35k,北京·朝阳区
上海中软华腾软件系统有限公司,10K-20K,广州·天河城
京东数字科技,18k-30k,北京·大兴区
我查查,15k-25k,上海·张江
iHandy,25k-50k,北京·海淀区
小米,15k-30k,北京·清河
拍拍贷,20k-30k,上海·浦东新…
豆包网,15k-25k,北京·朝阳门
海致,20k-30k,北京·五道口
思华科技,18K-35K,上海·张江
JAITech,18k-27k,上海·静安寺
海万科技,10k-20k,深圳·新洲
威廉欧奈尔中国,20k-35k,上海·浦东新…
上海迅傲信息科技股份有限公司,14k-20k,上海·张江
路行通,12k-20k,成都·高新区
客如云,15k-25k,成都·高新区
一起科技,25k-50k,北京·望京
安码科技,10k-20k,北京·小西天
智蓝,12k-17k,北京·西二旗
知乎,20k-30k,北京·五道口
水木创投,15k-22k,北京·东城区
宏鸿钥科技,25K-30K,深圳·新安
字节跳动,25k-40k,南京·玄武区
爱咔咔,18k-22k,北京·西北旺
海视科技,20k-40k,北京·三元桥
青云,12k-24k,武汉·东湖新…
海万科技,14k-18k,上海·梅园
智蓝,15k-25k,北京·西北旺
罗辑思维,25k-50k,北京·朝阳区
iHandy,25k-40k,北京·海淀区
百融云创,20k-30k,北京·中关村
木浪云,10k-15k,深圳·南山区
信永中和,15k-25k,北京·东四十…
普天,15k-25k,大连·黄河路
腾讯,20k-40k,北京·学院路
DATATOM,14k-22k,成都·高新区
