公司全名,薪资,区域
青藤云安全,25k-35k,北京·西北旺
犇众信息,20k-25k,上海·莘庄
国研网,22k-27k,北京·东城区
达达-京东到家,20k-30k,上海·平凉路
商汤科技,25k-50k,北京·五道口
美团点评,30k-45k,北京·朝阳区
因诺,20k-30k,北京·西城区
博智林机器人公司,18k-36k,佛山·顺德区
腾讯,20k-40k,上海·漕宝路
平安证券,15k-20k,深圳·莲花二…
Mobvista,30k-45k,北京·朝阳区
触宝,20k-40k,上海·徐汇区
中智行科技有限公司,20k-40k,深圳·坂田
Bigo,40k-80k,北京·学院路
去哪儿网,20k-40k,北京·中关村
因诺,15k-30k,北京·西城区
博智林机器人公司,20k-40k,广州·番禺区
美团点评,30k-50k,北京·朝阳区
中智行科技有限公司,20k-40k,南京·栖霞区
小年糕,15k-30k,北京·学院路
鹏城实验室,20k-30k,深圳·西丽
艾耕科技,25k-35k,北京·海淀区
腾讯,20k-40k,上海·漕宝路
凤凰网,40k-60k,北京·望京
成都睿码科技有限责任公司（KANKAN AI）,15k-25k,上海·虹口区
ULSee,15k-30k,杭州·四季青
联想集团,15k-30k,北京·海淀区
蚂蚁金服集团,21k-35k,上海·陆家嘴
Bigo,30k-60k,北京·学院路
维视科技,15k-30k,西安·曲江新…
美团点评,30k-60k,北京·朝阳区
博智林机器人公司,18k-36k,佛山·顺德区
小年糕,20k-40k,北京·学院路
意能通,15k-25k,苏州·吴中区
鹏城实验室,20k-29k,深圳·西丽
还呗-智能信贷领先者,30k-60k,上海·张江
创邻科技,25k-40k,杭州·三墩
实地集团,20k-40k,北京·双井
快手,25k-50k,北京·西二旗
达达-京东到家,20k-30k,上海·平凉路
华院数据,15k-25k,上海·静安区
成都睿码科技有限责任公司（KANKAN AI）,20k-40k,武汉·车站
一知智能,30k-60k,杭州·萧山区
明略科技集团,15k-25k,上海·新华路
点我达,30k-50k,杭州·东新路
博智林机器人公司,20k-40k,广州·番禺区
美团点评,25k-40k,北京·朝阳区
成都睿码科技有限责任公司（KANKAN AI）,15k-30k,长沙·万家丽
鹏城实验室,25k-30k,深圳·西丽
OKAY智慧教育,20k-35k,北京·中关村
普罗格集成,20k-30k,武汉·硚口区
ZILLIZ,25k-50k,上海·漕河泾
腾讯,18k-36k,上海·漕宝路
芊熠,30k-50k,深圳·南头
武汉心络科技有限公司,15k-30k,武汉·东湖新…
天壤智能,25k-50k,上海·龙华
奇点云,25k-50k,杭州·余杭区
平安科技,25k-50k,北京·朝阳区
一知智能,30k-50k,杭州·建设二…
R2.ai,20k-35k,杭州·滨江区
贝业思,15k-28k,西安·沣惠南…
实地集团,20k-40k,北京·双井
脉景,18k-30k,上海·浦东新…
平安科技,25k-50k,深圳·南山区
眸事网,25k-35k,上海·杨浦区
优策科技,25k-35k,佛山·南海区
郑州创恒实业有限公司,15k-25k,郑州·金水区
平安产险,15k-30k,深圳·福田区
Yeahmobi,30k-60k,北京·海淀区
中智行科技有限公司,15k-30k,南京·栖霞区
欢聚时代（YY Inc）,25k-50k,广州·番禺区
艾耕科技,20k-40k,杭州·西溪
海柔创新,13k-25k,深圳·宝安区
好未来,20k-40k,北京·中关村
慧安金科,30k-50k,北京·学院路
平安科技,25k-50k,上海·唐镇
优策科技,25k-35k,北京·石景山…
中智行科技有限公司,15k-30k,深圳·坂田
